MSV,Ma_Mon_Hoc_rieng,So_luong_mon_rieng,Ma_Mon_chung,So_luong_lop_trung
20009892,"['CHE1091', 'CHE2018', 'CHE2019', 'CHE2019 CLCCNH', 'CHE2019 CLCHD', 'CHE2021', 'CHE3300', 'PHI1002']",8,"['CHE2019', 'CHE2019 CLCCNH']",2
20009894,"['CHE2018', 'CHE2019', 'CHE2019 CLCCNH', 'CHE2019 CLCHD', 'CHE2021', 'CHE3045', 'CHE3254', 'PHI1002']",8,"['CHE2019', 'CHE2019 CLCCNH']",2
20009901,"['GEO1050', 'MAT2314', 'MAT2315', 'MAT2315E CLCMTKHTT', 'MAT2317', 'MAT2406', 'MAT3365', 'MAT3372', 'MAT3507']",9,['MAT2317'],1
20009929,"['CHE1075E CLCHD', 'CHE3300 CLCHD', 'CHE3301 CLCHD', 'CHE3301 CLCCNH', 'CHE3302 CLCHD', 'CHE3303', 'CHE3303 TNH', 'CHE4052', 'E340 TTKHMT']",9,"['CHE3301 CLCHD', 'CHE3303 TNH', 'CHE3303']",6
20009940,"['CHE1075E CLCHD', 'CHE2114E CLCHD', 'CHE3300 CLCHD', 'CHE3301 CLCHD', 'CHE3301 CLCCNH', 'CHE3302 CLCHD', 'CHE3303', 'CHE3303 TNH', 'CHE4052', 'E340 TTKHMT', 'PHI1002']",11,"['CHE3301 CLCHD', 'CHE3303 TNH', 'CHE3303']",6
20009962,"['GEO2319', 'GEO3263', 'GEO3266', 'GEO3304', 'GEO3305', 'MAT1101', 'PHI1002', 'PHI1006']",8,['PHI1006'],9
20009979,"['CHE1048', 'CHE1052', 'CHE1054', 'CHE1054 CLCHD', 'CHE1054 CLCCNKTHH', 'CHE1084', 'CHE1085', 'CHE1091']",8,"['CHE1054', 'CHE1054 CLCHD', 'CHE1085']",11
20009980,"['MAT2407 TNT', 'MAT3533', 'PHI1002', 'PHY1103', 'PHY1104']",5,['PHY1104'],7
20009999,"['MAT2314', 'MAT2315', 'MAT2315E CLCMTKHTT', 'MAT2317', 'MAT2406', 'MAT3365', 'MAT3372', 'MAT3507', 'POL1001']",9,['MAT2317'],1
20100277,"['CHE1155', 'CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",5,"['CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",20
20100957,"['CHE1155', 'CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",5,"['CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",20
20101654,"['CHE1155', 'CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",5,"['CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",20
20101818,"['CHE1155', 'CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",5,"['CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",20
20102341,"['CHE1155', 'CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",5,"['CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",20
20102342,"['CHE1155', 'CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",5,"['CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",20
20103363,"['CHE1155', 'CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",5,"['CHE1155', 'CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",21
20104065,"['PHI1002', 'PHI1006']",2,['PHI1006'],9
20104418,"['CHE1155', 'CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",5,"['CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",20
20104917,['PHI1002'],1,['PHI1002'],1
20105898,"['CHE1057', 'CHE1155', 'CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",6,"['CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",20
20106555,"['CHE1155', 'CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",5,"['CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",20
20106815,"['CHE1155', 'CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",5,"['CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",20
20107092,"['CHE1155', 'CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",5,"['CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",20
20107460,"['CHE1057', 'CHE1155', 'CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",6,"['CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",20
20107957,"['CHE1155', 'CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",5,"['CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",20
20108250,"['CHE1155', 'CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",5,"['CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",20
20108317,"['CHE1155', 'CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",5,"['CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",20
20108468,"['CHE1155', 'CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",5,"['CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",20
20108601,"['CHE1155', 'CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",5,"['CHE1191', 'CHE1191 CLCHD', 'CHE2008', 'CHE2009']",20
21000015,"['PHY1012 TNL', 'PHY1020 CTĐB', 'PHY1070', 'PHY1113 TNL', 'PHY2302 TNL', 'PHY2303 TNL']",6,['PHY1070'],1
21000033,"['GEO1050', 'MAT2317 CLCMTKHTT', 'MAT2502 CLCMTKHTT', 'MAT3500 CLCMTKHTT', 'MAT3504', 'MAT3505', 'MAT3505 CLCMTKHTT']",7,"['MAT3504', 'MAT3505', 'MAT3505 CLCMTKHTT']",5
21000038,"['CHE1080', 'GEO3209', 'GEO3210', 'MAT1091']",4,['GEO3210'],1
21000164,"['PHY1020 CTĐB', 'PHY1070', 'PHY1106 QTL', 'PHY1108 QTL', 'PHY1113 TNL', 'PHY2302E QTL']",6,['PHY1070'],1
21000174,"['MAT2502', 'MAT3500', 'PHY1020 CTĐB', 'PHY1070', 'PHY1100']",5,['PHY1070'],1
