MSV,classCode,subjectCode
19004128,"['BIO3252 1', 'BIO2204 3', 'CHE1080 4', 'POL1001 8', 'PHI1002 6', 'BIO2044', 'BIO2045 2', 'PHY1103 5']","['BIO2204', 'BIO2045', 'POL1001', 'BIO2044', 'PHI1002', 'BIO3252', 'CHE1080', 'PHY1103']"
19004130,"['CHE1075', 'CHE1090', 'CHE1084']","['CHE1075', 'CHE1090', 'CHE1084']"
19004137,"['BIO2088 2', 'BIO3304 3', 'BIO3303 1', 'BIO2201 1', 'BIO2220 1', 'BIO3302 4']","['BIO3302', 'BIO2088', 'BIO3303', 'BIO3304', 'BIO2201', 'BIO2220']"
19004146,"['BIO3252 1', 'BIO2092', 'BIO2044', 'BIO2202 2', 'BIO2045 1', 'BIO2201 2']","['BIO2045', 'BIO2092', 'BIO2044', 'BIO3252', 'BIO2201', 'BIO2202']"
19004159,"['BIO2127 2CLCCNS', 'BIO2516 5CLCCNS', 'BIO2800 4CLCCNS', 'BIO3302E 4CLCCNS', 'POL1001 7', 'CHE1057 6CLCCNS', 'BIO2215E 4CLCCNS', 'BIO3802E 2CLCCNS']","['BIO3302E CLCCNS', 'BIO2127 CLCCNS', 'BIO3802E CLCCNS', 'POL1001', 'BIO2215E CLCCNS', 'BIO2516 CLCCNS', 'CHE1057 CLCCNS', 'BIO2800 CLCCNS']"
19004162,"['MAT3373', 'PHI1002 5', 'MAT2034', 'MAT3452 1', 'POL1001 4', 'MAT3525']","['MAT3373', 'MAT2034', 'POL1001', 'MAT3452', 'MAT3525', 'PHI1002']"
19004179,"['BIO2405E QTS', 'BIO3252E QTS', 'BIO3227E QTS', 'BIO3370E QTS', 'BIO3372E QTS']","['BIO2405E QTS', 'BIO3252E QTS', 'BIO3227E QTS', 'BIO3370E QTS', 'BIO3372E QTS']"
19004180,"['PHY3606', 'PHY3508 3', 'PHY3608', 'PHI1002 7']","['PHY3606', 'PHY3508', 'PHI1002', 'PHY3608']"
19004182,"['MAT3533', 'MAT3525', 'MAT2407 2', 'MAT3452 2', 'HIS1001 1']","['MAT3533', 'MAT2407', 'MAT3452', 'MAT3525', 'HIS1001']"
19004189,"['CHE3045', 'CHE3254', 'CHE3253', 'CHE1075']","['CHE3045', 'CHE3254', 'CHE3253', 'CHE1075']"
19004218,"['HMO2110', 'HMO3311', 'HMO3312', 'HMO3321', 'HMO3307', 'HMO3306']","['HMO2110', 'HMO3311', 'HMO3312', 'HMO3321', 'HMO3307', 'HMO3306']"
19004221,"['CHE2114', 'CHE1075', 'CHE1084']","['CHE2114', 'CHE1075', 'CHE1084']"
19004222,"['CHE1075', 'HIS1001 2', 'CHE1084']","['CHE1075', 'CHE1084', 'HIS1001']"
19004223,"['GEO3270', 'GEO2320 2', 'GEO3265', 'GEO3269', 'POL1001 2', 'PHI1002 9']","['GEO3270', 'GEO3265', 'GEO3269', 'POL1001', 'PHI1002', 'GEO2320']"
19004235,"['BIO2088 2', 'BIO2220 4', 'BIO3304 2', 'BIO3302 2', 'BIO3252 3']","['BIO3302', 'BIO2088', 'BIO3304', 'BIO3252', 'BIO2220']"
19004237,"['MAT2411E 1CLCMTKHTT', 'MAT3373E 1CLCMTKHTT', 'MAT3562E 2CLCMTKHTT', 'MAT3500 3CLCMTKHTT']","['MAT3562E CLCMTKHTT', 'MAT3500 CLCMTKHTT', 'MAT3373E CLCMTKHTT', 'MAT2411E CLCMTKHTT']"
19004249,"['BIO2206 3', 'BIO2202 3', 'BIO2092', 'BIO2044', 'BIO3252 3', 'BIO2045 1', 'BIO2201 3']","['BIO2206', 'BIO2045', 'BIO2092', 'BIO2044', 'BIO3252', 'BIO2201', 'BIO2202']"
19004261,"['BIO2127 2CLCCNS', 'MAT1091 3', 'BIO3302E 5CLCCNS', 'BIO2800 5CLCCNS', 'BIO2516 4CLCCNS', 'PHI1002 1', 'BIO3802E 2CLCCNS', 'BIO2215E 5CLCCNS']","['BIO3302E CLCCNS', 'BIO3802E CLCCNS', 'BIO2215E CLCCNS', 'MAT1091', 'BIO2800 CLCCNS', 'BIO2516 CLCCNS', 'PHI1002', 'BIO2127 CLCCNS']"
19004264,"['GLO3158', 'GLO3198', 'GLO3122', 'GLO3228', 'GLO3229']","['GLO3158', 'GLO3198', 'GLO3122', 'GLO3228', 'GLO3229']"
19004270,"['PHY2064E QTL', 'PHY3608E QTL', 'PHY2306E QTL', 'PHY2304E QTL', 'PHY3508E QTL']","['PHY2064E QTL', 'PHY3608E QTL', 'PHY2306E QTL', 'PHY2304E QTL', 'PHY3508E QTL']"
19004278,"['GEO3270', 'GEO2320 2', 'GEO3265', 'GEO3269', 'GEO3305', 'CHE1080 1', 'PHI1002 2']","['GEO3270', 'GEO3265', 'GEO3269', 'PHI1002', 'GEO2320', 'CHE1080', 'GEO3305']"
19004284,"['MAT1091 7', 'GEO2304', 'PHY1103 1', 'GEO3143', 'GEO3360', 'MAT1101 11']","['MAT1101', 'MAT1091', 'GEO2304', 'GEO3143', 'GEO3360', 'PHY1103']"
19004285,"['EVS2109', 'EVS4071 6', 'MAT1101 7', 'EVS2017', 'POL1001 8', 'EVS3409', 'EVS3244 1']","['EVS2109', 'MAT1101', 'POL1001', 'EVS2017', 'EVS3409', 'EVS4071', 'EVS3244']"
19004298,"['BIO3303 3', 'BIO2201 1', 'BIO2088 4', 'BIO3302 2', 'BIO2220 2', 'BIO3304 1']","['BIO3302', 'BIO2088', 'BIO3303', 'BIO3304', 'BIO2201', 'BIO2220']"
19004299,"['PHI1002 12', 'EVS2109', 'EVS3248', 'EVS2017', 'EVS3409', 'EVS3244 1']","['EVS2109', 'EVS3248', 'EVS2017', 'EVS3409', 'PHI1002', 'EVS3244']"
19004304,"['CHE3045', 'HIS1001 2', 'CHE1075', 'CHE1052', 'CHE3253', 'CHE3254', 'CHE1079']","['CHE3045', 'CHE1075', 'CHE1052', 'CHE3253', 'CHE3254', 'CHE1079', 'HIS1001']"
19004315,"['BIO2202 3', 'BIO2206 3', 'BIO2092', 'BIO2201 4', 'BIO3252 2', 'BIO2044', 'BIO2045 1']","['BIO2206', 'BIO2045', 'BIO2092', 'BIO2044', 'BIO3252', 'BIO2201', 'BIO2202']"
19004348,"['BIO2220 4', 'BIO2092', 'BIO2044', 'BIO3258 2', 'BIO2045 2', 'BIO3252 2', 'CHE1057 1']","['BIO2045', 'BIO2092', 'BIO3258', 'BIO2044', 'BIO3252', 'BIO2220', 'CHE1057']"
19004370,"['MAT2411E 1CLCMTKHTT', 'MAT2403 4CLCMTKHTT', 'HIS1001 6', 'MAT3500 3CLCMTKHTT']","['MAT2403 CLCMTKHTT', 'HIS1001', 'MAT2411E CLCMTKHTT', 'MAT3500 CLCMTKHTT']"
19004385,"['PHY3606', 'PHY1113 5', 'PHY3608']","['PHY3606', 'PHY3608', 'PHY1113']"
19004390,"['CHE3045', 'CHE3254', 'CHE3253', 'CHE1075']","['CHE3045', 'CHE3254', 'CHE3253', 'CHE1075']"
19004395,"['BIO3302E 1CLCCNS', 'CHE1057 2', 'BIO2516 2CLCCNS', 'BIO2215E 1CLCCNS', 'BIO2127 1CLCCNS', 'BIO2800 1CLCCNS', 'BIO3802E 1CLCCNS']","['BIO3302E CLCCNS', 'BIO2127 CLCCNS', 'BIO3802E CLCCNS', 'BIO2215E CLCCNS', 'BIO2516 CLCCNS', 'BIO2800 CLCCNS', 'CHE1057']"
19004397,"['BIO3302E 1CLCCNS', 'MAT1101 10', 'BIO2516 1CLCCNS', 'BIO2215E 1CLCCNS', 'BIO2127 1CLCCNS', 'BIO2800 1CLCCNS']","['BIO3302E CLCCNS', 'MAT1101', 'BIO2127 CLCCNS', 'BIO2215E CLCCNS', 'BIO2516 CLCCNS', 'BIO2800 CLCCNS']"
19004404,"['CHE3045', 'GEO1050 6', 'CHE1075', 'CHE3253', 'CHE3254', 'CHE1079']","['CHE3045', 'GEO1050', 'CHE1075', 'CHE3253', 'CHE3254', 'CHE1079']"
19004408,"['BIO2215E 2CLCCNS', 'BIO3302E 3CLCCNS', 'BIO2516 1CLCCNS', 'BIO2127 1CLCCNS', 'BIO2800 1CLCCNS', 'BIO3802E 1CLCCNS']","['BIO3302E CLCCNS', 'BIO2127 CLCCNS', 'BIO3802E CLCCNS', 'BIO2215E CLCCNS', 'BIO2516 CLCCNS', 'BIO2800 CLCCNS']"
19004410,"['CHE2131 TNH', 'BIO2405E QTS', 'BIO3252E QTS', 'CHE2130 TNH', 'BIO3227E QTS', 'BIO3370E QTS', 'BIO3372E QTS', 'CHE2121 TNH']","['CHE2131 TNH', 'BIO2405E QTS', 'BIO3252E QTS', 'CHE2130 TNH', 'BIO3227E QTS', 'BIO3370E QTS', 'BIO3372E QTS', 'CHE2121 TNH']"
19004418,"['MAT3347 1', 'MAT2407 1', 'MAT2306 2']","['MAT2407', 'MAT2306', 'MAT3347']"
19004449,"['BIO2089 TNS', 'MAT2411E 1CLCMTKHTT', 'BIO3701 TNS', 'BIO3377 TNS', 'MAT3517E 2CLCMTKHTT', 'BIO2504 TNS', 'MAT3373E 1CLCMTKHTT', 'BIO3257 TNS', 'PHI1002 4']","['BIO2089 TNS', 'MAT3373E CLCMTKHTT', 'MAT3517E CLCMTKHTT', 'BIO3701 TNS', 'BIO3377 TNS', 'PHI1002', 'BIO2504 TNS', 'BIO3257 TNS', 'MAT2411E CLCMTKHTT']"
19004472,"['GEO3270', 'GEO2320 2', 'GEO3265', 'GEO3269']","['GEO3270', 'GEO3265', 'GEO2320', 'GEO3269']"
19004477,"['PHI1002 5', 'GEO1050 6', 'CHE3283 1CLCHD', 'CHE1075E 1CLCHD', 'CHE2030E 1CLCHD', 'CHE1067 1CLCHD']","['CHE1075E CLCHD', 'GEO1050', 'CHE2030E CLCHD', 'PHI1002', 'CHE1067 CLCHD', 'CHE3283 CLCHD']"
19004486,"['MAT3373E 2CLCMTKHTT', 'MAT3562E 1CLCMTKHTT', 'MAT2411E 2CLCMTKHTT', 'MAT3533 3CLCMTKHTT']","['MAT3533 CLCMTKHTT', 'MAT3562E CLCMTKHTT', 'MAT3373E CLCMTKHTT', 'MAT2411E CLCMTKHTT']"
19004492,"['PHY2302 7', 'PHY3508 2', 'PHY3608', 'PHY1113 7']","['PHY2302', 'PHY3508', 'PHY3608', 'PHY1113']"
